Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Done (Barometer: VEI_DZ656_BAR | Serial number: DZ656 | Sample Interval: 15 Minute)
DATE       : 07/04/2023
TIME       : 19:00:54
FILENAME   : C:\Repos\CSV\VEI_DZ629_WFF_230407190054_DZ629.CSV
CREATED BY : Diver-Office 12.0.3.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =BB00-DZ629  219.
  Instrument number       =          UTC+0     
                          =0
  Location                =VEI_DZ629_WFF
  Sample period           =M15
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =WATER HEAD (WC)
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =BB00-DZ629  219.
  Instrument number       =          UTC+0     
  Location                =VEI_DZ629_WFF
  Sample period           =00 00:15:00 0
  Sample method           =T   
  Start date / time       =00:00:17 21/02/23
  End date / time         =00:45:17 07/04/23
[Channel 1 from data header]
  Identification          =WATER HEAD (WC)
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Water head[cm],Temperature[°C]
2023/02/21 17:00:00,18.000,7.083
2023/02/21 17:15:00,17.725,7.020
2023/02/21 17:30:00,17.600,6.950
2023/02/21 17:45:00,17.750,6.893
2023/02/21 18:00:00,17.600,6.863
2023/02/21 18:15:00,17.825,6.793
2023/02/21 18:30:00,17.600,6.740
2023/02/21 18:45:00,17.525,6.677
2023/02/21 19:00:00,17.550,6.630
2023/02/21 19:15:00,17.475,6.583
2023/02/21 19:30:00,17.400,6.543
2023/02/21 19:45:00,17.200,6.497
2023/02/21 20:00:00,17.325,6.463
2023/02/21 20:15:00,17.150,6.417
2023/02/21 20:30:00,17.200,6.380
2023/02/21 20:45:00,17.125,6.333
2023/02/21 21:00:00,17.275,6.300
2023/02/21 21:15:00,17.000,6.253
2023/02/21 21:30:00,16.925,6.223
2023/02/21 21:45:00,16.875,6.183
2023/02/21 22:00:00,16.975,6.143
2023/02/21 22:15:00,16.925,6.120
2023/02/21 22:30:00,16.925,6.083
2023/02/21 22:45:00,16.675,6.050
2023/02/21 23:00:00,16.725,6.027
2023/02/21 23:15:00,16.650,5.990
2023/02/21 23:30:00,16.875,5.980
2023/02/21 23:45:00,16.600,5.940
2023/02/22 00:00:00,16.600,5.927
2023/02/22 00:15:00,16.750,5.910
2023/02/22 00:30:00,16.600,5.893
2023/02/22 00:45:00,16.475,5.870
2023/02/22 01:00:00,16.325,5.857
2023/02/22 01:15:00,16.275,5.833
2023/02/22 01:30:00,16.475,5.817
2023/02/22 01:45:00,16.325,5.817
2023/02/22 02:00:00,16.400,5.810
2023/02/22 02:15:00,16.250,5.800
2023/02/22 02:30:00,16.400,5.787
2023/02/22 02:45:00,16.250,5.777
2023/02/22 03:00:00,16.250,5.787
2023/02/22 03:15:00,16.350,5.763
2023/02/22 03:30:00,16.200,5.770
2023/02/22 03:45:00,16.475,5.763
2023/02/22 04:00:00,16.325,5.770
2023/02/22 04:15:00,16.675,5.740
2023/02/22 04:30:00,17.000,5.740
2023/02/22 04:45:00,17.200,5.763
2023/02/22 05:00:00,17.825,5.753
2023/02/22 05:15:00,18.175,5.740
2023/02/22 05:30:00,18.850,5.730
2023/02/22 05:45:00,19.125,5.713
2023/02/22 06:00:00,19.950,5.683
2023/02/22 06:15:00,20.100,5.637
2023/02/22 06:30:00,20.825,5.590
2023/02/22 06:45:00,21.025,5.550
2023/02/22 07:00:00,21.375,5.513
2023/02/22 07:15:00,21.650,5.457
2023/02/22 07:30:00,21.725,5.410
2023/02/22 07:45:00,21.650,5.363
2023/02/22 08:00:00,21.950,5.317
2023/02/22 08:15:00,22.000,5.293
2023/02/22 08:30:00,22.325,5.247
2023/02/22 08:45:00,22.550,5.213
2023/02/22 09:00:00,22.275,5.213
2023/02/22 09:15:00,22.400,5.207
2023/02/22 09:30:00,22.525,5.223
2023/02/22 09:45:00,22.525,5.230
2023/02/22 10:00:00,22.800,5.253
2023/02/22 10:15:00,22.950,5.363
2023/02/22 10:30:00,22.950,5.410
2023/02/22 10:45:00,23.000,5.463
2023/02/22 11:00:00,22.975,5.573
2023/02/22 11:15:00,22.800,5.583
2023/02/22 11:30:00,22.750,5.607
2023/02/22 11:45:00,22.750,5.690
2023/02/22 12:00:00,22.675,5.747
2023/02/22 12:15:00,22.675,5.800
2023/02/22 12:30:00,22.800,5.893
2023/02/22 12:45:00,22.825,6.027
2023/02/22 13:00:00,22.875,6.013
2023/02/22 13:15:00,22.875,5.893
2023/02/22 13:30:00,22.775,5.950
2023/02/22 13:45:00,22.950,6.050
2023/02/22 14:00:00,22.925,6.067
2023/02/22 14:15:00,22.950,6.050
2023/02/22 14:30:00,22.825,6.013
2023/02/22 14:45:00,22.825,5.963
2023/02/22 15:00:00,22.825,5.893
2023/02/22 15:15:00,22.675,5.880
2023/02/22 15:30:00,22.550,5.903
2023/02/22 15:45:00,22.625,5.863
2023/02/22 16:00:00,22.500,5.777
2023/02/22 16:15:00,22.425,5.677
2023/02/22 16:30:00,22.225,5.613
2023/02/22 16:45:00,22.225,5.573
2023/02/22 17:00:00,21.925,5.503
2023/02/22 17:15:00,21.675,5.440
2023/02/22 17:30:00,21.675,5.387
2023/02/22 17:45:00,21.675,5.317
2023/02/22 18:00:00,21.400,5.213
2023/02/22 18:15:00,21.100,5.167
2023/02/22 18:30:00,21.175,5.090
2023/02/22 18:45:00,21.125,5.003
2023/02/22 19:00:00,20.975,4.927
2023/02/22 19:15:00,21.200,4.833
2023/02/22 19:30:00,20.775,4.740
2023/02/22 19:45:00,20.625,4.683
2023/02/22 20:00:00,20.500,4.630
2023/02/22 20:15:00,20.250,4.607
2023/02/22 20:30:00,20.225,4.607
2023/02/22 20:45:00,19.975,4.590
2023/02/22 21:00:00,19.825,4.567
2023/02/22 21:15:00,19.875,4.527
2023/02/22 21:30:00,19.875,4.490
2023/02/22 21:45:00,19.625,4.457
2023/02/22 22:00:00,19.825,4.457
2023/02/22 22:15:00,19.550,4.393
2023/02/22 22:30:00,19.425,4.357
2023/02/22 22:45:00,19.475,4.300
2023/02/22 23:00:00,19.550,4.287
2023/02/22 23:15:00,19.425,4.270
2023/02/22 23:30:00,19.275,4.253
2023/02/22 23:45:00,19.125,4.240
2023/02/23 00:00:00,19.200,4.263
2023/02/23 00:15:00,19.200,4.230
2023/02/23 00:30:00,19.125,4.177
2023/02/23 00:45:00,19.325,4.167
2023/02/23 01:00:00,19.125,4.177
2023/02/23 01:15:00,19.350,4.153
