Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Done (Barometer: VEI_DZ656_BAR | Serial number: DZ656 | Sample Interval: 15 Minute)
DATE       : 07/04/2023
TIME       : 19:00:57
FILENAME   : C:\Repos\CSV\VEI_DZ637_SYG_230407190057_DZ637.CSV
CREATED BY : Diver-Office 12.0.3.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =BB00-DZ637  219.
  Instrument number       =          UTC+0     
                          =0
  Location                =VEI_DZ637_SYG
  Sample period           =M15
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =WATER HEAD (WC)
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =BB00-DZ637  219.
  Instrument number       =          UTC+0     
  Location                =VEI_DZ637_SYG
  Sample period           =00 00:15:00 0
  Sample method           =T   
  Start date / time       =00:00:17 21/02/23
  End date / time         =00:45:17 07/04/23
[Channel 1 from data header]
  Identification          =WATER HEAD (WC)
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Water head[cm],Temperature[°C]
2023/02/21 17:00:00,3.950,7.093
2023/02/21 17:15:00,3.600,7.030
2023/02/21 17:30:00,3.600,6.960
2023/02/21 17:45:00,3.650,6.873
2023/02/21 18:00:00,3.500,6.827
2023/02/21 18:15:00,3.650,6.757
2023/02/21 18:30:00,3.500,6.700
2023/02/21 18:45:00,3.650,6.630
2023/02/21 19:00:00,3.600,6.560
2023/02/21 19:15:00,3.400,6.483
2023/02/21 19:30:00,3.400,6.413
2023/02/21 19:45:00,3.175,6.350
2023/02/21 20:00:00,3.375,6.310
2023/02/21 20:15:00,3.100,6.240
2023/02/21 20:30:00,3.225,6.170
2023/02/21 20:45:00,3.150,6.100
2023/02/21 21:00:00,3.075,6.060
2023/02/21 21:15:00,2.950,6.000
2023/02/21 21:30:00,2.950,5.960
2023/02/21 21:45:00,3.025,5.927
2023/02/21 22:00:00,2.725,5.903
2023/02/21 22:15:00,2.950,5.857
2023/02/21 22:30:00,2.950,5.827
2023/02/21 22:45:00,2.825,5.787
2023/02/21 23:00:00,2.750,5.780
2023/02/21 23:15:00,2.675,5.757
2023/02/21 23:30:00,2.875,5.723
2023/02/21 23:45:00,2.675,5.693
2023/02/22 00:00:00,2.600,5.693
2023/02/22 00:15:00,2.675,5.663
2023/02/22 00:30:00,2.475,5.653
2023/02/22 00:45:00,2.600,5.630
2023/02/22 01:00:00,2.450,5.617
2023/02/22 01:15:00,2.600,5.570
2023/02/22 01:30:00,2.450,5.553
2023/02/22 01:45:00,2.500,5.537
2023/02/22 02:00:00,2.300,5.560
2023/02/22 02:15:00,2.375,5.537
2023/02/22 02:30:00,2.450,5.523
2023/02/22 02:45:00,2.350,5.523
2023/02/22 03:00:00,2.350,5.523
2023/02/22 03:15:00,2.650,5.523
2023/02/22 03:30:00,2.350,5.523
2023/02/22 03:45:00,2.625,5.500
2023/02/22 04:00:00,2.575,5.523
2023/02/22 04:15:00,2.500,5.500
2023/02/22 04:30:00,2.750,5.530
2023/02/22 04:45:00,2.825,5.537
2023/02/22 05:00:00,3.100,5.570
2023/02/22 05:15:00,3.175,5.560
2023/02/22 05:30:00,3.450,5.570
2023/02/22 05:45:00,3.600,5.577
2023/02/22 06:00:00,3.875,5.600
2023/02/22 06:15:00,4.100,5.577
2023/02/22 06:30:00,5.100,5.547
2023/02/22 06:45:00,5.725,5.523
2023/02/22 07:00:00,6.700,5.483
2023/02/22 07:15:00,8.050,5.427
2023/02/22 07:30:00,8.100,5.397
2023/02/22 07:45:00,8.725,5.350
2023/02/22 08:00:00,9.175,5.327
2023/02/22 08:15:00,9.100,5.303
2023/02/22 08:30:00,9.650,5.303
2023/02/22 08:45:00,9.650,5.303
2023/02/22 09:00:00,10.150,5.297
2023/02/22 09:15:00,9.725,5.333
2023/02/22 09:30:00,10.250,5.367
2023/02/22 09:45:00,10.125,5.333
2023/02/22 10:00:00,10.625,5.373
2023/02/22 10:15:00,10.550,5.483
2023/02/22 10:30:00,10.825,5.560
2023/02/22 10:45:00,11.200,5.653
2023/02/22 11:00:00,11.600,5.827
2023/02/22 11:15:00,11.325,5.857
2023/02/22 11:30:00,11.800,5.833
2023/02/22 11:45:00,11.675,5.990
2023/02/22 12:00:00,11.825,5.990
2023/02/22 12:15:00,11.825,6.060
2023/02/22 12:30:00,11.650,6.233
2023/02/22 12:45:00,11.500,6.437
2023/02/22 13:00:00,11.525,6.403
2023/02/22 13:15:00,11.425,6.327
2023/02/22 13:30:00,11.400,6.413
2023/02/22 13:45:00,11.575,6.547
2023/02/22 14:00:00,11.300,6.530
2023/02/22 14:15:00,11.600,6.507
2023/02/22 14:30:00,11.650,6.530
2023/02/22 14:45:00,11.450,6.547
2023/02/22 15:00:00,11.500,6.437
2023/02/22 15:15:00,11.725,6.413
2023/02/22 15:30:00,11.725,6.413
2023/02/22 15:45:00,12.075,6.397
2023/02/22 16:00:00,12.375,6.263
2023/02/22 16:15:00,12.175,6.107
2023/02/22 16:30:00,12.100,5.973
2023/02/22 16:45:00,12.025,5.810
2023/02/22 17:00:00,12.150,5.687
2023/02/22 17:15:00,11.975,5.560
2023/02/22 17:30:00,11.925,5.467
2023/02/22 17:45:00,11.775,5.343
2023/02/22 18:00:00,11.650,5.273
2023/02/22 18:15:00,11.550,5.153
2023/02/22 18:30:00,11.700,5.030
2023/02/22 18:45:00,11.375,4.890
2023/02/22 19:00:00,11.075,4.780
2023/02/22 19:15:00,10.950,4.677
2023/02/22 19:30:00,10.750,4.583
2023/02/22 19:45:00,10.325,4.483
2023/02/22 20:00:00,9.900,4.437
2023/02/22 20:15:00,9.850,4.443
2023/02/22 20:30:00,9.650,4.460
2023/02/22 20:45:00,9.525,4.443
2023/02/22 21:00:00,9.175,4.443
2023/02/22 21:15:00,8.875,4.420
2023/02/22 21:30:00,8.875,4.403
2023/02/22 21:45:00,8.400,4.390
2023/02/22 22:00:00,8.400,4.380
2023/02/22 22:15:00,8.275,4.320
2023/02/22 22:30:00,8.200,4.263
2023/02/22 22:45:00,7.900,4.217
2023/02/22 23:00:00,7.850,4.193
2023/02/22 23:15:00,7.800,4.153
2023/02/22 23:30:00,7.450,4.163
2023/02/22 23:45:00,7.425,4.163
2023/02/23 00:00:00,7.350,4.153
2023/02/23 00:15:00,7.375,4.123
2023/02/23 00:30:00,7.225,4.070
2023/02/23 00:45:00,6.950,4.030
2023/02/23 01:00:00,6.825,4.030
2023/02/23 01:15:00,6.675,3.983
2023/02/23 01:30:00,6.775,3.937
2023/02/23 01:45:00,6.750,3.880
2023/02/23 02:00:00,6.750,3.873
2023/02/23 02:15:00,6.550,3.827
2023/02/23 02:30:00,6.700,3.797
2023/02/23 02:45:00,6.625,3.750
2023/02/23 03:00:00,6.325,3.733
2023/02/23 03:15:00,6.475,3.687
2023/02/23 03:30:00,6.275,3.653
2023/02/23 03:45:00,5.725,3.630
2023/02/23 04:00:00,5.950,3.640
2023/02/23 04:15:00,5.525,3.600
2023/02/23 04:30:00,5.375,3.577
2023/02/23 04:45:00,5.675,3.570
2023/02/23 05:00:00,5.325,3.553
2023/02/23 05:15:00,5.450,3.560
2023/02/23 05:30:00,5.300,3.570
2023/02/23 05:45:00,5.250,3.560
2023/02/23 06:00:00,5.250,3.537
2023/02/23 06:15:00,4.850,3.530
2023/02/23 06:30:00,4.825,3.530
2023/02/23 06:45:00,4.700,3.530
2023/02/23 07:00:00,4.625,3.547
2023/02/23 07:15:00,4.725,3.547
2023/02/23 07:30:00,4.625,3.560
2023/02/23 07:45:00,4.575,3.537
2023/02/23 08:00:00,4.450,3.530
2023/02/23 08:15:00,4.600,3.507
2023/02/23 08:30:00,4.175,3.490
2023/02/23 08:45:00,4.400,3.483
2023/02/23 09:00:00,4.175,3.483
2023/02/23 09:15:00,4.175,3.467
