Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Done (Barometer: VEI_DZ656_BAR | Serial number: DZ656 | Sample Interval: 15 Minute)
DATE       : 07/04/2023
TIME       : 19:00:59
FILENAME   : C:\Repos\CSV\VEI_EA310_DYO_230407190059_EA310.CSV
CREATED BY : Diver-Office 12.0.3.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =..00-EA310  219.
  Instrument number       =          UTC+0     
                          =0
  Location                =VEI_EA310_DYO
  Sample period           =M15
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =WATER HEAD (WC)
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-EA310  219.
  Instrument number       =          UTC+0     
  Location                =VEI_EA310_DYO
  Sample period           =00 00:15:00 0
  Sample method           =T   
  Start date / time       =00:00:17 21/02/23
  End date / time         =00:45:17 07/04/23
[Channel 1 from data header]
  Identification          =WATER HEAD (WC)
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Water head[cm],Temperature[°C]
2023/02/21 17:00:00,50.375,8.683
2023/02/21 17:15:00,50.375,8.667
2023/02/21 17:30:00,50.550,8.667
2023/02/21 17:45:00,51.325,8.673
2023/02/21 18:00:00,49.792,8.673
2023/02/21 18:15:00,50.683,8.660
2023/02/21 18:30:00,50.900,8.673
2023/02/21 18:45:00,50.650,8.667
2023/02/21 19:00:00,50.217,8.667
2023/02/21 19:15:00,50.683,8.667
2023/02/21 19:30:00,50.783,8.660
2023/02/21 19:45:00,50.125,8.667
2023/02/21 20:00:00,50.617,8.673
2023/02/21 20:15:00,50.742,8.660
2023/02/21 20:30:00,51.058,8.660
2023/02/21 20:45:00,50.692,8.667
2023/02/21 21:00:00,51.725,8.667
2023/02/21 21:15:00,50.258,8.667
2023/02/21 21:30:00,50.167,8.660
2023/02/21 21:45:00,50.125,8.660
2023/02/21 22:00:00,50.100,8.667
2023/02/21 22:15:00,50.617,8.650
2023/02/21 22:30:00,50.350,8.660
2023/02/21 22:45:00,50.892,8.667
2023/02/21 23:00:00,50.317,8.660
2023/02/21 23:15:00,50.433,8.660
2023/02/21 23:30:00,50.783,8.667
2023/02/21 23:45:00,49.983,8.660
2023/02/22 00:00:00,49.983,8.667
2023/02/22 00:15:00,50.333,8.660
2023/02/22 00:30:00,49.925,8.660
2023/02/22 00:45:00,50.533,8.660
2023/02/22 01:00:00,50.167,8.667
2023/02/22 01:15:00,50.025,8.650
2023/02/22 01:30:00,50.108,8.660
2023/02/22 01:45:00,50.233,8.660
2023/02/22 02:00:00,49.433,8.660
2023/02/22 02:15:00,50.425,8.660
2023/02/22 02:30:00,49.800,8.660
2023/02/22 02:45:00,49.342,8.667
2023/02/22 03:00:00,49.500,8.667
2023/02/22 03:15:00,50.308,8.650
2023/02/22 03:30:00,49.692,8.650
2023/02/22 03:45:00,50.258,8.673
2023/02/22 04:00:00,49.383,8.667
2023/02/22 04:15:00,49.467,8.643
2023/02/22 04:30:00,50.250,8.650
2023/02/22 04:45:00,49.342,8.643
2023/02/22 05:00:00,49.667,8.667
2023/02/22 05:15:00,50.267,8.643
2023/02/22 05:30:00,49.800,8.660
2023/02/22 05:45:00,49.683,8.667
2023/02/22 06:00:00,49.100,8.650
2023/02/22 06:15:00,49.433,8.660
2023/02/22 06:30:00,49.608,8.643
2023/02/22 06:45:00,49.450,8.650
2023/02/22 07:00:00,49.625,8.660
2023/02/22 07:15:00,49.692,8.650
2023/02/22 07:30:00,50.083,8.643
2023/02/22 07:45:00,49.075,8.650
2023/02/22 08:00:00,49.400,8.643
2023/02/22 08:15:00,49.225,8.643
2023/02/22 08:30:00,49.683,8.650
2023/02/22 08:45:00,49.075,8.643
2023/02/22 09:00:00,49.942,8.650
2023/02/22 09:15:00,49.617,8.650
2023/02/22 09:30:00,49.642,8.650
2023/02/22 09:45:00,49.933,8.650
2023/02/22 10:00:00,50.125,8.660
2023/02/22 10:15:00,49.708,8.650
2023/02/22 10:30:00,50.000,8.660
2023/02/22 10:45:00,49.658,8.650
2023/02/22 11:00:00,49.967,8.650
2023/02/22 11:15:00,49.842,8.660
2023/02/22 11:30:00,49.917,8.643
2023/02/22 11:45:00,50.250,8.650
2023/02/22 12:00:00,50.242,8.667
2023/02/22 12:15:00,50.417,8.660
2023/02/22 12:30:00,50.467,8.650
2023/02/22 12:45:00,49.350,8.643
2023/02/22 13:00:00,50.550,8.667
2023/02/22 13:15:00,50.392,8.660
2023/02/22 13:30:00,50.583,8.660
2023/02/22 13:45:00,50.633,8.667
2023/02/22 14:00:00,50.600,8.660
2023/02/22 14:15:00,50.842,8.650
2023/02/22 14:30:00,50.925,8.643
2023/02/22 14:45:00,50.925,8.660
2023/02/22 15:00:00,51.217,8.650
2023/02/22 15:15:00,52.108,8.650
2023/02/22 15:30:00,51.133,8.667
2023/02/22 15:45:00,51.833,8.650
2023/02/22 16:00:00,50.717,8.660
2023/02/22 16:15:00,51.883,8.667
2023/02/22 16:30:00,51.200,8.650
2023/02/22 16:45:00,51.275,8.643
2023/02/22 17:00:00,51.283,8.643
2023/02/22 17:15:00,51.467,8.643
2023/02/22 17:30:00,51.133,8.650
2023/02/22 17:45:00,51.175,8.643
2023/02/22 18:00:00,51.850,8.667
2023/02/22 18:15:00,51.700,8.667
2023/02/22 18:30:00,51.483,8.643
2023/02/22 18:45:00,51.358,8.667
2023/02/22 19:00:00,51.967,8.667
2023/02/22 19:15:00,51.167,8.643
2023/02/22 19:30:00,51.842,8.660
2023/02/22 19:45:00,51.400,8.667
2023/02/22 20:00:00,51.242,8.673
2023/02/22 20:15:00,52.067,8.667
2023/02/22 20:30:00,51.333,8.673
2023/02/22 20:45:00,51.792,8.667
2023/02/22 21:00:00,51.342,8.667
2023/02/22 21:15:00,51.758,8.667
2023/02/22 21:30:00,51.975,8.667
2023/02/22 21:45:00,51.358,8.673
2023/02/22 22:00:00,51.950,8.673
2023/02/22 22:15:00,52.158,8.673
