Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Done (Barometer: VEI_DZ656_BAR | Serial number: DZ656 | Sample Interval: 05 Minute)
DATE       : 09/10/2023
TIME       : 21:22:02
FILENAME   : C:\Repos\mynydd_ddu_run3_july_october_2023\New data\CSV\VEI_DZ637_SYG_231009212200_DZ637.CSV
CREATED BY : Diver-Office 12.0.3.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =BB01-DZ637  219.
  Instrument number       =          UTC+1     
                          =0
  Location                =VEI_DZ637_SYG
  Sample period           =M05
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =WATER HEAD (WC)
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =BB01-DZ637  219.
  Instrument number       =          UTC+1     
  Location                =VEI_DZ637_SYG
  Sample period           =00 00:05:00 0
  Sample method           =T   
  Start date / time       =00:00:17 24/07/23
  End date / time         =00:15:13 09/10/23
[Channel 1 from data header]
  Identification          =WATER HEAD (WC)
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Water head[cm],Temperature[°C]
2023/07/24 17:00:00,3.425,14.530
2023/07/24 17:05:00,3.275,14.443
2023/07/24 17:10:00,3.125,14.390
2023/07/24 17:15:00,3.075,14.350
2023/07/24 17:20:00,3.075,14.310
2023/07/24 17:25:00,3.200,14.303
2023/07/24 17:30:00,2.725,14.297
2023/07/24 17:35:00,2.725,14.250
2023/07/24 17:40:00,2.925,14.200
2023/07/24 17:45:00,2.950,14.163
2023/07/24 17:50:00,2.575,14.153
2023/07/24 17:55:00,2.500,14.217
2023/07/24 18:00:00,2.725,14.223
2023/07/24 18:05:00,2.725,14.187
2023/07/24 18:10:00,2.875,14.130
2023/07/24 18:15:00,2.725,14.060
2023/07/24 18:20:00,2.500,14.000
2023/07/24 18:25:00,2.225,13.943
2023/07/24 18:30:00,2.375,13.913
2023/07/24 18:35:00,2.100,13.880
2023/07/24 18:40:00,2.150,13.843
2023/07/24 18:45:00,2.225,13.763
2023/07/24 18:50:00,2.300,13.700
2023/07/24 18:55:00,2.100,13.653
2023/07/24 19:00:00,1.950,13.593
2023/07/24 19:05:00,2.250,13.570
2023/07/24 19:10:00,1.975,13.553
2023/07/24 19:15:00,1.850,13.507
2023/07/24 19:20:00,1.975,13.473
2023/07/24 19:25:00,1.800,13.437
2023/07/24 19:30:00,1.825,13.413
2023/07/24 19:35:00,1.675,13.403
2023/07/24 19:40:00,1.550,13.397
2023/07/24 19:45:00,1.550,13.380
2023/07/24 19:50:00,1.800,13.357
2023/07/24 19:55:00,1.525,13.343
2023/07/24 20:00:00,1.450,13.303
2023/07/24 20:05:00,1.400,13.250
2023/07/24 20:10:00,1.250,13.187
2023/07/24 20:15:00,1.200,13.147
2023/07/24 20:20:00,1.575,13.107
2023/07/24 20:25:00,1.275,13.093
