Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Done (Barometer: VEI_DZ656_BAR | Serial number: DZ656 | Sample Interval: 05 Minute)
DATE       : 09/10/2023
TIME       : 21:22:21
FILENAME   : C:\Repos\mynydd_ddu_run3_july_october_2023\New data\CSV\VEI_EA310_DYO_231009212219_EA310.CSV
CREATED BY : Diver-Office 12.0.3.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =..01-EA310  219.
  Instrument number       =          UTC+1     
                          =0
  Location                =VEI_EA310_DYO
  Sample period           =M05
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =WATER HEAD (WC)
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..01-EA310  219.
  Instrument number       =          UTC+1     
  Location                =VEI_EA310_DYO
  Sample period           =00 00:05:00 0
  Sample method           =T   
  Start date / time       =00:00:17 24/07/23
  End date / time         =00:00:11 09/10/23
[Channel 1 from data header]
  Identification          =WATER HEAD (WC)
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Water head[cm],Temperature[°C]
2023/07/24 17:00:00,64.283,10.457
2023/07/24 17:05:00,63.583,10.457
2023/07/24 17:10:00,63.367,10.440
2023/07/24 17:15:00,63.008,10.457
2023/07/24 17:20:00,63.950,10.457
2023/07/24 17:25:00,64.408,10.457
2023/07/24 17:30:00,63.917,10.457
2023/07/24 17:35:00,63.725,10.447
2023/07/24 17:40:00,63.100,10.457
2023/07/24 17:45:00,63.992,10.463
2023/07/24 17:50:00,64.133,10.457
2023/07/24 17:55:00,64.133,10.457
2023/07/24 18:00:00,64.133,10.463
2023/07/24 18:05:00,63.625,10.457
2023/07/24 18:10:00,64.867,10.463
2023/07/24 18:15:00,63.917,10.463
2023/07/24 18:20:00,63.842,10.463
2023/07/24 18:25:00,63.675,10.463
2023/07/24 18:30:00,64.408,10.480
2023/07/24 18:35:00,64.917,10.470
2023/07/24 18:40:00,63.433,10.480
2023/07/24 18:45:00,64.308,10.470
2023/07/24 18:50:00,64.208,10.470
2023/07/24 18:55:00,65.250,10.470
2023/07/24 19:00:00,63.817,10.480
2023/07/24 19:05:00,63.875,10.470
2023/07/24 19:10:00,64.550,10.487
2023/07/24 19:15:00,64.158,10.480
2023/07/24 19:20:00,63.942,10.470
2023/07/24 19:25:00,64.008,10.487
2023/07/24 19:30:00,63.383,10.487
2023/07/24 19:35:00,63.308,10.487
2023/07/24 19:40:00,63.067,10.493
2023/07/24 19:45:00,63.142,10.487
2023/07/24 19:50:00,64.183,10.487
2023/07/24 19:55:00,63.858,10.487
2023/07/24 20:00:00,63.158,10.493
2023/07/24 20:05:00,64.100,10.493
2023/07/24 20:10:00,63.442,10.493
2023/07/24 20:15:00,63.225,10.487
2023/07/24 20:20:00,63.067,10.487
2023/07/24 20:25:00,63.108,10.487
2023/07/24 20:30:00,63.317,10.510
2023/07/24 20:35:00,63.733,10.503
2023/07/24 20:40:00,63.808,10.503
2023/07/24 20:45:00,64.267,10.493
2023/07/24 20:50:00,63.325,10.503
2023/07/24 20:55:00,63.608,10.503
2023/07/24 21:00:00,62.208,10.510
2023/07/24 21:05:00,64.483,10.493
2023/07/24 21:10:00,64.242,10.510
2023/07/24 21:15:00,64.217,10.520
2023/07/24 21:20:00,63.125,10.503
2023/07/24 21:25:00,62.900,10.510
2023/07/24 21:30:00,63.292,10.503
2023/07/24 21:35:00,63.258,10.510
2023/07/24 21:40:00,63.650,10.493
2023/07/24 21:45:00,63.142,10.503
2023/07/24 21:50:00,63.208,10.503
2023/07/24 21:55:00,64.158,10.520
2023/07/24 22:00:00,62.625,10.520
2023/07/24 22:05:00,63.092,10.520
2023/07/24 22:10:00,63.700,10.520
2023/07/24 22:15:00,63.625,10.510
2023/07/24 22:20:00,63.167,10.510
2023/07/24 22:25:00,63.750,10.520
2023/07/24 22:30:00,62.508,10.520
2023/07/24 22:35:00,64.300,10.510
2023/07/24 22:40:00,63.167,10.520
2023/07/24 22:45:00,62.875,10.503
2023/07/24 22:50:00,63.425,10.503
2023/07/24 22:55:00,64.183,10.520
2023/07/24 23:00:00,63.667,10.520
2023/07/24 23:05:00,64.083,10.520
2023/07/24 23:10:00,62.725,10.520
2023/07/24 23:15:00,62.983,10.520
2023/07/24 23:20:00,63.233,10.527
2023/07/24 23:25:00,63.375,10.527
2023/07/24 23:30:00,62.275,10.520
2023/07/24 23:35:00,63.617,10.520
2023/07/24 23:40:00,63.225,10.520
2023/07/24 23:45:00,63.225,10.520
2023/07/24 23:50:00,63.225,10.520
2023/07/24 23:55:00,62.517,10.510
2023/07/25 00:00:00,63.275,10.533
2023/07/25 00:05:00,63.033,10.510
2023/07/25 00:10:00,63.492,10.520
2023/07/25 00:15:00,62.900,10.520
2023/07/25 00:20:00,62.658,10.520
2023/07/25 00:25:00,62.325,10.527
2023/07/25 00:30:00,62.250,10.527
2023/07/25 00:35:00,62.542,10.520
2023/07/25 00:40:00,61.742,10.533
2023/07/25 00:45:00,61.325,10.533
2023/07/25 00:50:00,62.492,10.520
2023/07/25 00:55:00,61.250,10.527
2023/07/25 01:00:00,61.908,10.520
2023/07/25 01:05:00,62.733,10.533
2023/07/25 01:10:00,61.617,10.533
2023/07/25 01:15:00,61.742,10.520
2023/07/25 01:20:00,62.033,10.527
2023/07/25 01:25:00,62.042,10.527
2023/07/25 01:30:00,61.867,10.527
2023/07/25 01:35:00,61.742,10.520
2023/07/25 01:40:00,62.225,10.520
2023/07/25 01:45:00,61.992,10.527
2023/07/25 01:50:00,62.033,10.520
2023/07/25 01:55:00,61.550,10.533
2023/07/25 02:00:00,61.208,10.527
2023/07/25 02:05:00,61.233,10.520
2023/07/25 02:10:00,61.258,10.520
2023/07/25 02:15:00,61.917,10.533
2023/07/25 02:20:00,61.233,10.527
2023/07/25 02:25:00,61.450,10.520
2023/07/25 02:30:00,61.867,10.520
2023/07/25 02:35:00,61.283,10.527
2023/07/25 02:40:00,61.575,10.520
2023/07/25 02:45:00,61.550,10.520
2023/07/25 02:50:00,60.775,10.520
2023/07/25 02:55:00,60.950,10.520
2023/07/25 03:00:00,61.383,10.527
2023/07/25 03:05:00,61.283,10.520
2023/07/25 03:10:00,60.950,10.520
2023/07/25 03:15:00,61.967,10.520
2023/07/25 03:20:00,61.167,10.520
2023/07/25 03:25:00,61.158,10.527
2023/07/25 03:30:00,60.942,10.520
2023/07/25 03:35:00,60.825,10.520
2023/07/25 03:40:00,60.408,10.520
2023/07/25 03:45:00,60.700,10.520
2023/07/25 03:50:00,60.242,10.520
2023/07/25 03:55:00,60.775,10.510
2023/07/25 04:00:00,61.117,10.533
2023/07/25 04:05:00,60.192,10.510
2023/07/25 04:10:00,61.025,10.533
2023/07/25 04:15:00,60.292,10.520
2023/07/25 04:20:00,60.067,10.520
2023/07/25 04:25:00,60.167,10.527
2023/07/25 04:30:00,60.500,10.520
2023/07/25 04:35:00,59.708,10.527
2023/07/25 04:40:00,59.542,10.510
2023/07/25 04:45:00,60.000,10.510
2023/07/25 04:50:00,59.825,10.510
2023/07/25 04:55:00,59.858,10.520
2023/07/25 05:00:00,59.542,10.520
2023/07/25 05:05:00,60.117,10.510
2023/07/25 05:10:00,59.375,10.510
2023/07/25 05:15:00,59.667,10.510
2023/07/25 05:20:00,59.325,10.527
2023/07/25 05:25:00,59.492,10.520
2023/07/25 05:30:00,59.567,10.510
2023/07/25 05:35:00,59.658,10.510
2023/07/25 05:40:00,59.292,10.520
2023/07/25 05:45:00,59.950,10.510
2023/07/25 05:50:00,59.825,10.510
2023/07/25 05:55:00,59.950,10.520
2023/07/25 06:00:00,59.492,10.527
2023/07/25 06:05:00,59.300,10.520
2023/07/25 06:10:00,58.500,10.520
2023/07/25 06:15:00,59.542,10.520
2023/07/25 06:20:00,60.408,10.533
2023/07/25 06:25:00,59.850,10.520
2023/07/25 06:30:00,59.633,10.527
2023/07/25 06:35:00,59.433,10.520
2023/07/25 06:40:00,58.775,10.520
2023/07/25 06:45:00,59.392,10.520
2023/07/25 06:50:00,59.100,10.510
2023/07/25 06:55:00,59.092,10.533
2023/07/25 07:00:00,58.758,10.520
2023/07/25 07:05:00,58.517,10.520
2023/07/25 07:10:00,59.267,10.520
2023/07/25 07:15:00,58.875,10.527
2023/07/25 07:20:00,57.683,10.527
2023/07/25 07:25:00,59.067,10.520
