Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Done (Barometer: VEI_DZ637_SYG | Serial number: DZ637 | Sample Interval: 05 Minute)
DATE       : 14/10/2024
TIME       : 21:00:39
FILENAME   : C:\Repos\mynydd_ddu_run5_may_july_october_2024\CSV\VEI_EW141_DYO_241014210038_EW141.CSV
CREATED BY : Diver-Office 12.0.3.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =BB00-EW141  219.
  Instrument number       =          UTC+1     
                          =0
  Location                =VEI_EW141_DYO
  Sample period           =M05
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =WATER HEAD (WC)
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =BB00-EW141  219.
  Instrument number       =          UTC+1     
  Location                =VEI_EW141_DYO
  Sample period           =00 00:05:00 0
  Sample method           =T   
  Start date / time       =00:00:17 05/05/24
  End date / time         =00:25:14 14/10/24
[Channel 1 from data header]
  Identification          =WATER HEAD (WC)
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Water head[cm],Temperature[°C]
2024/05/05 17:00:00,59.350,8.770
2024/05/05 17:05:00,59.200,8.757
2024/05/05 17:10:00,59.150,8.747
2024/05/05 17:15:00,59.075,8.757
2024/05/05 17:20:00,59.075,8.757
2024/05/05 17:25:00,59.225,8.757
2024/05/05 17:30:00,59.000,8.747
2024/05/05 17:35:00,59.200,8.747
2024/05/05 17:40:00,59.125,8.747
2024/05/05 17:45:00,59.100,8.723
2024/05/05 17:50:00,59.050,8.757
2024/05/05 17:55:00,59.050,8.747
2024/05/05 18:00:00,59.000,8.757
2024/05/05 18:05:00,59.275,8.757
2024/05/05 18:10:00,59.050,8.757
2024/05/05 18:15:00,59.075,8.757
2024/05/05 18:20:00,59.000,8.757
2024/05/05 18:25:00,58.925,8.757
2024/05/05 18:30:00,59.075,8.740
2024/05/05 18:35:00,58.925,8.757
2024/05/05 18:40:00,58.925,8.757
2024/05/05 18:45:00,59.025,8.747
2024/05/05 18:50:00,59.100,8.747
2024/05/05 18:55:00,58.900,8.747
2024/05/05 19:00:00,58.800,8.757
2024/05/05 19:05:00,59.025,8.747
2024/05/05 19:10:00,58.825,8.757
2024/05/05 19:15:00,58.775,8.757
2024/05/05 19:20:00,58.775,8.747
2024/05/05 19:25:00,58.750,8.757
2024/05/05 19:30:00,58.625,8.757
2024/05/05 19:35:00,58.675,8.763
2024/05/05 19:40:00,58.750,8.763
2024/05/05 19:45:00,58.500,8.757
2024/05/05 19:50:00,58.700,8.733
2024/05/05 19:55:00,58.750,8.757
2024/05/05 20:00:00,58.625,8.747
2024/05/05 20:05:00,58.625,8.757
2024/05/05 20:10:00,58.500,8.763
2024/05/05 20:15:00,58.500,8.757
2024/05/05 20:20:00,58.350,8.757
2024/05/05 20:25:00,58.425,8.757
2024/05/05 20:30:00,58.425,8.747
2024/05/05 20:35:00,58.425,8.763
2024/05/05 20:40:00,58.475,8.757
2024/05/05 20:45:00,58.575,8.757
2024/05/05 20:50:00,58.350,8.763
2024/05/05 20:55:00,58.350,8.747
2024/05/05 21:00:00,58.425,8.757
2024/05/05 21:05:00,58.475,8.770
2024/05/05 21:10:00,58.400,8.757
2024/05/05 21:15:00,58.400,8.757
2024/05/05 21:20:00,58.400,8.757
2024/05/05 21:25:00,58.475,8.757
2024/05/05 21:30:00,58.350,8.757
2024/05/05 21:35:00,58.350,8.757
2024/05/05 21:40:00,58.600,8.763
2024/05/05 21:45:00,58.275,8.747
2024/05/05 21:50:00,58.325,8.757
2024/05/05 21:55:00,58.350,8.770
2024/05/05 22:00:00,58.325,8.763
2024/05/05 22:05:00,58.275,8.757
2024/05/05 22:10:00,58.475,8.770
2024/05/05 22:15:00,58.175,8.763
2024/05/05 22:20:00,58.125,8.757
2024/05/05 22:25:00,58.300,8.763
2024/05/05 22:30:00,58.300,8.757
2024/05/05 22:35:00,58.375,8.763
2024/05/05 22:40:00,58.375,8.763
2024/05/05 22:45:00,58.425,8.780
2024/05/05 22:50:00,58.375,8.763
2024/05/05 22:55:00,58.450,8.770
2024/05/05 23:00:00,58.375,8.770
2024/05/05 23:05:00,58.525,8.763
2024/05/05 23:10:00,58.425,8.757
2024/05/05 23:15:00,58.425,8.747
2024/05/05 23:20:00,58.550,8.763
2024/05/05 23:25:00,58.575,8.763
2024/05/05 23:30:00,58.550,8.763
2024/05/05 23:35:00,58.625,8.770
2024/05/05 23:40:00,58.550,8.757
2024/05/05 23:45:00,58.500,8.763
2024/05/05 23:50:00,58.500,8.757
2024/05/05 23:55:00,58.625,8.780
2024/05/06 00:00:00,58.750,8.770
2024/05/06 00:05:00,58.550,8.763
2024/05/06 00:10:00,58.825,8.763
2024/05/06 00:15:00,58.775,8.757
2024/05/06 00:20:00,58.750,8.770
