Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Incompl. (Barometer: VEI_DZ656_BAR | Serial number: DZ656 | Sample Interval: 15 Minute)
DATE       : 20/11/2022
TIME       : 10:05:23
FILENAME   : E:\CSV\VEI_DZ629_WFF_221120100523_DZ629.CSV
CREATED BY : Diver-Office 12.0.1.3
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =BB00-DZ629  219.
  Instrument number       =          UTC+0     
                          =0
  Location                =VEI_DZ629_WFF
  Sample period           =M15
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =WATER HEAD (WC)
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =BB00-DZ629  219.
  Instrument number       =          UTC+0     
  Location                =VEI_DZ629_WFF
  Sample period           =00 00:15:00 0
  Sample method           =T   
  Start date / time       =00:00:17 31/10/22
  End date / time         =00:30:19 18/11/22
[Channel 1 from data header]
  Identification          =WATER HEAD (WC)
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Water head[cm],Temperature[°C]
2022/10/31 17:00:00,15.075,11.120
2022/10/31 17:15:00,14.725,11.107
2022/10/31 17:30:00,14.450,11.097
2022/10/31 17:45:00,14.500,11.083
2022/10/31 18:00:00,14.650,11.067
2022/10/31 18:15:00,14.650,11.060
2022/10/31 18:30:00,14.650,11.037
2022/10/31 18:45:00,14.725,11.013
2022/10/31 19:00:00,15.275,11.027
2022/10/31 19:15:00,15.700,10.990
2022/10/31 19:30:00,17.175,10.980
2022/10/31 19:45:00,20.350,10.940
2022/10/31 20:00:00,21.900,10.910
2022/10/31 20:15:00,22.925,10.887
2022/10/31 20:30:00,23.475,10.870
2022/10/31 20:45:00,23.600,10.880
2022/10/31 21:00:00,24.700,10.887
2022/10/31 21:15:00,26.075,10.870
2022/10/31 21:30:00,28.000,10.880
2022/10/31 21:45:00,28.200,10.870
2022/10/31 22:00:00,28.750,10.880
2022/10/31 22:15:00,28.675,10.863
2022/10/31 22:30:00,29.025,10.863
2022/10/31 22:45:00,30.325,10.870
2022/10/31 23:00:00,30.675,10.863
2022/10/31 23:15:00,32.050,10.857
2022/10/31 23:30:00,32.300,10.840
2022/10/31 23:45:00,32.525,10.833
2022/11/01 00:00:00,33.075,10.817
2022/11/01 00:15:00,33.575,10.793
2022/11/01 00:30:00,33.825,10.763
2022/11/01 00:45:00,33.225,10.730
2022/11/01 01:00:00,33.900,10.707
2022/11/01 01:15:00,34.800,10.683
2022/11/01 01:30:00,34.400,10.643
2022/11/01 01:45:00,34.925,10.560
2022/11/01 02:00:00,34.925,10.490
2022/11/01 02:15:00,34.500,10.370
2022/11/01 02:30:00,33.475,10.300
2022/11/01 02:45:00,32.950,10.223
2022/11/01 03:00:00,33.000,10.137
2022/11/01 03:15:00,32.175,10.073
2022/11/01 03:30:00,31.500,10.037
2022/11/01 03:45:00,30.550,10.013
2022/11/01 04:00:00,30.050,10.003
2022/11/01 04:15:00,29.175,10.013
2022/11/01 04:30:00,28.550,10.020
2022/11/01 04:45:00,28.200,10.027
2022/11/01 05:00:00,27.825,10.043
2022/11/01 05:15:00,28.350,10.073
2022/11/01 05:30:00,29.175,10.083
2022/11/01 05:45:00,29.450,10.067
2022/11/01 06:00:00,29.725,10.067
2022/11/01 06:15:00,29.650,10.050
2022/11/01 06:30:00,29.725,10.050
2022/11/01 06:45:00,29.525,10.050
2022/11/01 07:00:00,29.725,10.050
2022/11/01 07:15:00,29.600,10.027
2022/11/01 07:30:00,30.000,10.037
2022/11/01 07:45:00,30.275,9.990
2022/11/01 08:00:00,30.825,9.973
2022/11/01 08:15:00,30.750,9.933
2022/11/01 08:30:00,30.825,9.893
2022/11/01 08:45:00,30.875,9.863
2022/11/01 09:00:00,30.975,9.833
2022/11/01 09:15:00,30.275,9.817
2022/11/01 09:30:00,30.325,9.817
2022/11/01 09:45:00,29.725,9.833
2022/11/01 10:00:00,28.825,9.863
2022/11/01 10:15:00,28.775,9.840
2022/11/01 10:30:00,27.875,9.887
2022/11/01 10:45:00,27.525,9.903
2022/11/01 11:00:00,27.050,9.927
2022/11/01 11:15:00,26.575,9.933
2022/11/01 11:30:00,26.375,9.957
