Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Done (Barometer: VEI_DZ656_BAR | Serial number: DZ656 | Sample Interval: 15 Minute)
DATE       : 20/11/2022
TIME       : 10:05:32
FILENAME   : E:\CSV\VEI_DZ637_SYG_221120100532_DZ637.CSV
CREATED BY : Diver-Office 12.0.1.3
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =BB00-DZ637  219.
  Instrument number       =          UTC+0     
                          =0
  Location                =VEI_DZ637_SYG
  Sample period           =M15
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =WATER HEAD (WC)
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =BB00-DZ637  219.
  Instrument number       =          UTC+0     
  Location                =VEI_DZ637_SYG
  Sample period           =00 00:15:00 0
  Sample method           =T   
  Start date / time       =00:00:17 31/10/22
  End date / time         =00:15:19 18/11/22
[Channel 1 from data header]
  Identification          =WATER HEAD (WC)
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Water head[cm],Temperature[°C]
2022/10/31 17:00:00,43.200,10.867
2022/10/31 17:15:00,43.025,10.810
2022/10/31 17:30:00,42.825,10.780
2022/10/31 17:45:00,42.950,10.723
2022/10/31 18:00:00,42.675,10.710
2022/10/31 18:15:00,42.875,10.670
2022/10/31 18:30:00,42.800,10.653
2022/10/31 18:45:00,43.000,10.630
2022/10/31 19:00:00,43.275,10.617
2022/10/31 19:15:00,43.550,10.593
2022/10/31 19:30:00,44.300,10.577
2022/10/31 19:45:00,45.275,10.570
2022/10/31 20:00:00,46.850,10.577
2022/10/31 20:15:00,49.075,10.577
2022/10/31 20:30:00,50.325,10.577
2022/10/31 20:45:00,51.125,10.593
2022/10/31 21:00:00,52.175,10.593
2022/10/31 21:15:00,53.500,10.583
2022/10/31 21:30:00,54.875,10.593
2022/10/31 21:45:00,57.325,10.600
2022/10/31 22:00:00,58.775,10.607
2022/10/31 22:15:00,59.475,10.607
2022/10/31 22:30:00,60.650,10.607
2022/10/31 22:45:00,61.525,10.623
2022/10/31 23:00:00,61.550,10.630
2022/10/31 23:15:00,64.450,10.640
2022/10/31 23:30:00,66.675,10.640
2022/10/31 23:45:00,65.725,10.617
2022/11/01 00:00:00,66.625,10.600
2022/11/01 00:15:00,68.450,10.593
2022/11/01 00:30:00,69.400,10.570
2022/11/01 00:45:00,73.400,10.560
2022/11/01 01:00:00,71.575,10.560
2022/11/01 01:15:00,70.950,10.513
