Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Incompl. (Barometer: VEI_DZ656_BAR | Serial number: DZ656 | Sample Interval: 15 Minute)
DATE       : 20/11/2022
TIME       : 10:05:34
FILENAME   : E:\CSV\VEI_EA310_DYO_221120100534_EA310.CSV
CREATED BY : Diver-Office 12.0.1.3
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =..00-EA310  219.
  Instrument number       =          UTC+0     
                          =0
  Location                =VEI_EA310_DYO
  Sample period           =M15
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =WATER HEAD (WC)
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-EA310  219.
  Instrument number       =          UTC+0     
  Location                =VEI_EA310_DYO
  Sample period           =00 00:15:00 0
  Sample method           =T   
  Start date / time       =00:00:17 31/10/22
  End date / time         =00:30:19 18/11/22
[Channel 1 from data header]
  Identification          =WATER HEAD (WC)
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Water head[cm],Temperature[°C]
2022/10/31 17:00:00,51.642,10.283
2022/10/31 17:15:00,51.183,10.293
2022/10/31 17:30:00,52.042,10.283
2022/10/31 17:45:00,51.158,10.277
2022/10/31 18:00:00,51.433,10.283
2022/10/31 18:15:00,50.817,10.270
2022/10/31 18:30:00,51.308,10.277
2022/10/31 18:45:00,50.583,10.277
2022/10/31 19:00:00,50.650,10.293
2022/10/31 19:15:00,51.117,10.277
2022/10/31 19:30:00,51.225,10.270
2022/10/31 19:45:00,50.758,10.277
2022/10/31 20:00:00,50.400,10.283
2022/10/31 20:15:00,51.242,10.277
2022/10/31 20:30:00,50.525,10.270
2022/10/31 20:45:00,50.558,10.283
2022/10/31 21:00:00,50.458,10.283
2022/10/31 21:15:00,51.275,10.270
2022/10/31 21:30:00,50.717,10.277
2022/10/31 21:45:00,50.542,10.277
2022/10/31 22:00:00,51.775,10.293
2022/10/31 22:15:00,51.267,10.283
2022/10/31 22:30:00,51.483,10.283
2022/10/31 22:45:00,52.442,10.300
2022/10/31 23:00:00,52.508,10.300
2022/10/31 23:15:00,53.875,10.283
2022/10/31 23:30:00,54.308,10.293
2022/10/31 23:45:00,55.717,10.283
2022/11/01 00:00:00,55.050,10.283
2022/11/01 00:15:00,57.533,10.277
2022/11/01 00:30:00,57.033,10.277
2022/11/01 00:45:00,58.008,10.283
2022/11/01 01:00:00,60.442,10.277
2022/11/01 01:15:00,61.800,10.277
2022/11/01 01:30:00,62.708,10.277
2022/11/01 01:45:00,63.783,10.277
2022/11/01 02:00:00,64.767,10.260
2022/11/01 02:15:00,65.100,10.260
2022/11/01 02:30:00,66.592,10.270
2022/11/01 02:45:00,68.917,10.237
2022/11/01 03:00:00,69.250,10.207
2022/11/01 03:15:00,70.750,10.143
2022/11/01 03:30:00,71.425,10.090
2022/11/01 03:45:00,70.550,10.073
2022/11/01 04:00:00,71.133,10.043
2022/11/01 04:15:00,70.433,10.010
2022/11/01 04:30:00,77.100,10.003
2022/11/01 04:45:00,81.717,10.010
2022/11/01 05:00:00,82.658,10.027
2022/11/01 05:15:00,84.067,10.043
2022/11/01 05:30:00,85.717,10.050
2022/11/01 05:45:00,85.667,10.057
2022/11/01 06:00:00,85.358,10.057
2022/11/01 06:15:00,86.158,10.050
2022/11/01 06:30:00,85.283,10.010
2022/11/01 06:45:00,84.775,9.993
2022/11/01 07:00:00,84.842,10.043
2022/11/01 07:15:00,84.958,10.097
2022/11/01 07:30:00,85.192,10.150
2022/11/01 07:45:00,83.783,10.213
2022/11/01 08:00:00,85.250,10.253
2022/11/01 08:15:00,84.833,10.277
2022/11/01 08:30:00,84.683,10.307
2022/11/01 08:45:00,84.292,10.317
2022/11/01 09:00:00,84.825,10.330
2022/11/01 09:15:00,83.967,10.353
2022/11/01 09:30:00,84.408,10.363
2022/11/01 09:45:00,83.233,10.353
2022/11/01 10:00:00,83.933,10.353
2022/11/01 10:15:00,84.300,10.353
2022/11/01 10:30:00,83.808,10.353
2022/11/01 10:45:00,84.400,10.347
2022/11/01 11:00:00,83.450,10.340
2022/11/01 11:15:00,84.667,10.347
2022/11/01 11:30:00,83.542,10.347
2022/11/01 11:45:00,84.158,10.347
2022/11/01 12:00:00,83.867,10.330
2022/11/01 12:15:00,83.217,10.330
2022/11/01 12:30:00,84.108,10.330
2022/11/01 12:45:00,82.992,10.317
2022/11/01 13:00:00,82.167,10.330
2022/11/01 13:15:00,81.658,10.317
2022/11/01 13:30:00,82.083,10.323
2022/11/01 13:45:00,81.592,10.307
2022/11/01 14:00:00,80.592,10.317
2022/11/01 14:15:00,80.383,10.317
2022/11/01 14:30:00,80.142,10.323
2022/11/01 14:45:00,79.142,10.307
2022/11/01 15:00:00,78.733,10.323
2022/11/01 15:15:00,78.658,10.300
2022/11/01 15:30:00,78.125,10.307
2022/11/01 15:45:00,76.550,10.307
