Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 07/02/2025
TIME       : 20:40:44
FILENAME   : C:\Repos\mynydd_ddu_public_data\CSV\VEI_DZ629_WFF_250207204043_DZ629.CSV
CREATED BY : Diver-Office 12.0.3.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =BB04-DZ629  219.
  Instrument number       =          UTC+1     
                          =0
  Location                =VEI_DZ629_WFF
  Sample period           =M05
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =BB04-DZ629  219.
  Instrument number       =          UTC+1     
  Location                =VEI_DZ629_WFF
  Sample period           =00 00:05:00 0
  Sample method           =T   
  Start date / time       =00:00:13 14/10/24
  End date / time         =00:15:21 07/02/25
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cmH2O],Temperature[°C]
2024/10/14 13:00:00,991.025,8.433
2024/10/14 13:05:00,990.875,8.450
2024/10/14 13:10:00,991.025,8.473
2024/10/14 13:15:00,990.750,8.503
2024/10/14 13:20:00,991.175,8.513
2024/10/14 13:25:00,990.750,8.550
2024/10/14 13:30:00,990.750,8.550
2024/10/14 13:35:00,990.825,8.573
2024/10/14 13:40:00,990.550,8.590
2024/10/14 13:45:00,990.400,8.607
2024/10/14 13:50:00,990.525,8.613
2024/10/14 13:55:00,990.475,8.630
2024/10/14 14:00:00,990.475,8.643
2024/10/14 14:05:00,990.400,8.660
2024/10/14 14:10:00,990.425,8.677
2024/10/14 14:15:00,990.350,8.683
2024/10/14 14:20:00,990.500,8.707
2024/10/14 14:25:00,990.275,8.713
2024/10/14 14:30:00,990.425,8.730
2024/10/14 14:35:00,990.350,8.747
2024/10/14 14:40:00,990.250,8.763
2024/10/14 14:45:00,990.250,8.777
2024/10/14 14:50:00,990.200,8.787
2024/10/14 14:55:00,990.000,8.800
2024/10/14 15:00:00,990.125,8.810
2024/10/14 15:05:00,989.875,8.833
2024/10/14 15:10:00,989.800,8.840
2024/10/14 15:15:00,989.725,8.847
2024/10/14 15:20:00,989.675,8.863
2024/10/14 15:25:00,989.875,8.870
2024/10/14 15:30:00,989.675,8.863
2024/10/14 15:35:00,989.725,8.893
2024/10/14 15:40:00,989.675,8.887
2024/10/14 15:45:00,989.600,8.893
2024/10/14 15:50:00,989.525,8.887
2024/10/14 15:55:00,989.600,8.903
2024/10/14 16:00:00,989.725,8.903
2024/10/14 16:05:00,989.450,8.917
2024/10/14 16:10:00,989.525,8.903
2024/10/14 16:15:00,989.500,8.917
2024/10/14 16:20:00,989.475,8.903
2024/10/14 16:25:00,989.500,8.927
2024/10/14 16:30:00,989.325,8.903
2024/10/14 16:35:00,989.400,8.893
2024/10/14 16:40:00,989.525,8.903
2024/10/14 16:45:00,989.650,8.917
2024/10/14 16:50:00,989.600,8.903
2024/10/14 16:55:00,989.475,8.893
2024/10/14 17:00:00,989.475,8.893
2024/10/14 17:05:00,989.475,8.887
2024/10/14 17:10:00,989.200,8.887
2024/10/14 17:15:00,989.325,8.880
2024/10/14 17:20:00,989.400,8.863
2024/10/14 17:25:00,989.400,8.863
2024/10/14 17:30:00,989.400,8.863
2024/10/14 17:35:00,989.325,8.863
2024/10/14 17:40:00,989.250,8.863
2024/10/14 17:45:00,989.250,8.833
2024/10/14 17:50:00,989.250,8.833
2024/10/14 17:55:00,989.250,8.833
2024/10/14 18:00:00,989.375,8.817
2024/10/14 18:05:00,989.375,8.810
2024/10/14 18:10:00,989.500,8.800
2024/10/14 18:15:00,989.450,8.793
2024/10/14 18:20:00,989.450,8.800
2024/10/14 18:25:00,989.500,8.793
2024/10/14 18:30:00,989.450,8.777
2024/10/14 18:35:00,989.500,8.763
2024/10/14 18:40:00,989.450,8.753
2024/10/14 18:45:00,989.500,8.753
2024/10/14 18:50:00,989.525,8.730
2024/10/14 18:55:00,989.325,8.723
2024/10/14 19:00:00,989.325,8.740
2024/10/14 19:05:00,989.250,8.723
2024/10/14 19:10:00,989.250,8.707
2024/10/14 19:15:00,989.050,8.713
2024/10/14 19:20:00,988.975,8.707
2024/10/14 19:25:00,989.125,8.700
2024/10/14 19:30:00,989.200,8.700
2024/10/14 19:35:00,988.975,8.690
2024/10/14 19:40:00,988.925,8.690
2024/10/14 19:45:00,988.850,8.683
2024/10/14 19:50:00,988.775,8.700
2024/10/14 19:55:00,988.700,8.677
2024/10/14 20:00:00,988.700,8.690
2024/10/14 20:05:00,988.675,8.660
2024/10/14 20:10:00,988.575,8.667
2024/10/14 20:15:00,988.500,8.667
2024/10/14 20:20:00,988.500,8.667
2024/10/14 20:25:00,988.475,8.660
2024/10/14 20:30:00,988.400,8.660
2024/10/14 20:35:00,988.275,8.653
2024/10/14 20:40:00,988.150,8.660
2024/10/14 20:45:00,988.150,8.660
2024/10/14 20:50:00,988.150,8.643
2024/10/14 20:55:00,988.200,8.660
2024/10/14 21:00:00,988.150,8.660
2024/10/14 21:05:00,988.075,8.660
2024/10/14 21:10:00,988.000,8.653
2024/10/14 21:15:00,988.075,8.643
2024/10/14 21:20:00,987.925,8.643
2024/10/14 21:25:00,988.075,8.643
2024/10/14 21:30:00,988.000,8.643
2024/10/14 21:35:00,988.000,8.630
2024/10/14 21:40:00,987.925,8.637
2024/10/14 21:45:00,987.925,8.630
2024/10/14 21:50:00,988.000,8.620
2024/10/14 21:55:00,987.925,8.613
2024/10/14 22:00:00,987.875,8.620
2024/10/14 22:05:00,987.800,8.613
2024/10/14 22:10:00,987.925,8.613
2024/10/14 22:15:00,987.725,8.597
2024/10/14 22:20:00,987.650,8.607
2024/10/14 22:25:00,987.650,8.597
2024/10/14 22:30:00,987.725,8.597
2024/10/14 22:35:00,987.600,8.597
2024/10/14 22:40:00,987.750,8.583
2024/10/14 22:45:00,987.550,8.590
2024/10/14 22:50:00,987.525,8.597
2024/10/14 22:55:00,987.625,8.590
2024/10/14 23:00:00,987.675,8.583
2024/10/14 23:05:00,987.625,8.573
2024/10/14 23:10:00,987.625,8.583
2024/10/14 23:15:00,987.550,8.573
2024/10/14 23:20:00,987.675,8.573
2024/10/14 23:25:00,987.750,8.567
2024/10/14 23:30:00,987.475,8.573
2024/10/14 23:35:00,987.550,8.567
2024/10/14 23:40:00,987.425,8.567
2024/10/14 23:45:00,987.425,8.560
2024/10/14 23:50:00,987.425,8.567
2024/10/14 23:55:00,987.350,8.567
2024/10/15 00:00:00,987.200,8.567
2024/10/15 00:05:00,987.200,8.573
2024/10/15 00:10:00,987.150,8.567
2024/10/15 00:15:00,987.150,8.560
2024/10/15 00:20:00,987.150,8.567
2024/10/15 00:25:00,987.000,8.573
2024/10/15 00:30:00,987.000,8.550
2024/10/15 00:35:00,987.075,8.573
2024/10/15 00:40:00,987.000,8.583
2024/10/15 00:45:00,986.800,8.560
2024/10/15 00:50:00,986.725,8.573
2024/10/15 00:55:00,986.800,8.583
2024/10/15 01:00:00,986.725,8.583
2024/10/15 01:05:00,986.725,8.583
2024/10/15 01:10:00,986.600,8.567
2024/10/15 01:15:00,986.600,8.583
2024/10/15 01:20:00,986.450,8.560
2024/10/15 01:25:00,986.400,8.583
2024/10/15 01:30:00,986.400,8.590
2024/10/15 01:35:00,986.225,8.597
2024/10/15 01:40:00,986.325,8.590
2024/10/15 01:45:00,986.225,8.597
