Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Incompl. (Barometer: VEI_DZ656_WFF_BAR | Serial number: DZ656 | Sample Interval: 05 Minute)
DATE       : 09/02/2025
TIME       : 12:45:37
FILENAME   : C:\Repos\mynydd_ddu_hydrology_public_data\october_2024_february_2025\CSV\VEI_DZ629_WFF_250209124536_DZ629.CSV
CREATED BY : Diver-Office 12.0.3.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =BB04-DZ629  219.
  Instrument number       =          UTC+1     
                          =0
  Location                =VEI_DZ629_WFF
  Sample period           =M05
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =WATER HEAD (WC)
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =BB04-DZ629  219.
  Instrument number       =          UTC+1     
  Location                =VEI_DZ629_WFF
  Sample period           =00 00:05:00 0
  Sample method           =T   
  Start date / time       =00:00:13 14/10/24
  End date / time         =00:15:21 07/02/25
[Channel 1 from data header]
  Identification          =WATER HEAD (WC)
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Water head[cm],Temperature[°C]
2024/10/14 13:00:00,9.825,8.433
2024/10/14 13:05:00,9.825,8.450
2024/10/14 13:10:00,9.900,8.473
2024/10/14 13:15:00,9.625,8.503
2024/10/14 13:20:00,10.050,8.513
2024/10/14 13:25:00,9.700,8.550
2024/10/14 13:30:00,9.625,8.550
2024/10/14 13:35:00,9.600,8.573
2024/10/14 13:40:00,9.600,8.590
2024/10/14 13:45:00,9.450,8.607
2024/10/14 13:50:00,9.650,8.613
2024/10/14 13:55:00,9.525,8.630
2024/10/14 14:00:00,9.450,8.643
2024/10/14 14:05:00,9.375,8.660
2024/10/14 14:10:00,9.425,8.677
2024/10/14 14:15:00,9.225,8.683
2024/10/14 14:20:00,9.425,8.707
2024/10/14 14:25:00,9.125,8.713
2024/10/14 14:30:00,9.350,8.730
2024/10/14 14:35:00,9.200,8.747
2024/10/14 14:40:00,8.900,8.763
2024/10/14 14:45:00,9.100,8.777
2024/10/14 14:50:00,8.850,8.787
2024/10/14 14:55:00,8.850,8.800
2024/10/14 15:00:00,8.900,8.810
2024/10/14 15:05:00,8.800,8.833
2024/10/14 15:10:00,8.725,8.840
2024/10/14 15:15:00,8.500,8.847
2024/10/14 15:20:00,8.650,8.863
2024/10/14 15:25:00,8.800,8.870
2024/10/14 15:30:00,8.650,8.863
2024/10/14 15:35:00,8.575,8.893
2024/10/14 15:40:00,8.450,8.887
2024/10/14 15:45:00,8.575,8.893
2024/10/14 15:50:00,8.375,8.887
2024/10/14 15:55:00,8.300,8.903
2024/10/14 16:00:00,8.425,8.903
2024/10/14 16:05:00,8.225,8.917
2024/10/14 16:10:00,8.300,8.903
2024/10/14 16:15:00,8.200,8.917
2024/10/14 16:20:00,8.125,8.903
2024/10/14 16:25:00,8.200,8.927
2024/10/14 16:30:00,7.975,8.903
2024/10/14 16:35:00,8.050,8.893
2024/10/14 16:40:00,8.025,8.903
2024/10/14 16:45:00,8.075,8.917
2024/10/14 16:50:00,7.975,8.903
2024/10/14 16:55:00,7.775,8.893
2024/10/14 17:00:00,7.775,8.893
2024/10/14 17:05:00,7.850,8.887
2024/10/14 17:10:00,7.575,8.887
2024/10/14 17:15:00,7.550,8.880
2024/10/14 17:20:00,7.700,8.863
2024/10/14 17:25:00,7.625,8.863
2024/10/14 17:30:00,7.425,8.863
2024/10/14 17:35:00,7.550,8.863
2024/10/14 17:40:00,7.475,8.863
2024/10/14 17:45:00,7.200,8.833
2024/10/14 17:50:00,7.350,8.833
2024/10/14 17:55:00,7.350,8.833
