Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Not Appl.
DATE       : 07/02/2025
TIME       : 20:41:01
FILENAME   : C:\Repos\mynydd_ddu_public_data\CSV\VEI_DZ656_WFF_BAR_250207204100_DZ656.CSV
CREATED BY : Diver-Office 12.0.3.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =BB04-DZ656  219.
  Instrument number       =          UTC+1     
                          =0
  Location                =VEI_DZ656_WFF_BAR
  Sample period           =M05
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =BB04-DZ656  219.
  Instrument number       =          UTC+1     
  Location                =VEI_DZ656_WFF_BAR
  Sample period           =00 00:05:00 0
  Sample method           =T   
  Start date / time       =00:00:13 14/10/24
  End date / time         =00:10:21 07/02/25
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cmH2O],Temperature[°C]
2024/10/14 13:00:00,981.200,9.113
2024/10/14 13:05:00,981.050,11.507
2024/10/14 13:10:00,981.125,10.740
2024/10/14 13:15:00,981.125,10.123
2024/10/14 13:20:00,981.125,9.607
2024/10/14 13:25:00,981.050,9.177
2024/10/14 13:30:00,981.125,8.857
2024/10/14 13:35:00,981.225,8.600
2024/10/14 13:40:00,980.950,8.403
2024/10/14 13:45:00,980.950,8.247
2024/10/14 13:50:00,980.875,8.123
2024/10/14 13:55:00,980.950,8.020
2024/10/14 14:00:00,981.025,7.960
2024/10/14 14:05:00,981.025,7.880
2024/10/14 14:10:00,981.000,7.840
2024/10/14 14:15:00,981.125,7.817
2024/10/14 14:20:00,981.075,7.793
2024/10/14 14:25:00,981.150,7.787
2024/10/14 14:30:00,981.075,7.763
2024/10/14 14:35:00,981.150,7.747
2024/10/14 14:40:00,981.350,7.757
2024/10/14 14:45:00,981.150,7.740
2024/10/14 14:50:00,981.350,7.733
2024/10/14 14:55:00,981.150,7.757
2024/10/14 15:00:00,981.225,7.747
2024/10/14 15:05:00,981.075,7.733
2024/10/14 15:10:00,981.075,7.710
2024/10/14 15:15:00,981.225,7.723
2024/10/14 15:20:00,981.025,7.723
2024/10/14 15:25:00,981.075,7.717
2024/10/14 15:30:00,981.025,7.733
2024/10/14 15:35:00,981.150,7.717
2024/10/14 15:40:00,981.225,7.717
2024/10/14 15:45:00,981.025,7.710
2024/10/14 15:50:00,981.150,7.747
2024/10/14 15:55:00,981.300,7.740
2024/10/14 16:00:00,981.300,7.763
2024/10/14 16:05:00,981.225,7.770
2024/10/14 16:10:00,981.225,7.793
2024/10/14 16:15:00,981.300,7.787
2024/10/14 16:20:00,981.350,7.803
2024/10/14 16:25:00,981.300,7.787
2024/10/14 16:30:00,981.350,7.793
2024/10/14 16:35:00,981.350,7.793
2024/10/14 16:40:00,981.500,7.780
2024/10/14 16:45:00,981.575,7.747
2024/10/14 16:50:00,981.625,7.740
2024/10/14 16:55:00,981.700,7.733
2024/10/14 17:00:00,981.700,7.723
2024/10/14 17:05:00,981.625,7.717
2024/10/14 17:10:00,981.625,7.740
2024/10/14 17:15:00,981.775,7.747
2024/10/14 17:20:00,981.700,7.757
2024/10/14 17:25:00,981.775,7.763
2024/10/14 17:30:00,981.975,7.747
2024/10/14 17:35:00,981.775,7.740
2024/10/14 17:40:00,981.775,7.757
2024/10/14 17:45:00,982.050,7.757
2024/10/14 17:50:00,981.900,7.747
2024/10/14 17:55:00,981.900,7.740
2024/10/14 18:00:00,982.100,7.747
2024/10/14 18:05:00,982.050,7.740
2024/10/14 18:10:00,982.175,7.717
2024/10/14 18:15:00,982.325,7.723
2024/10/14 18:20:00,982.250,7.710
2024/10/14 18:25:00,982.325,7.710
2024/10/14 18:30:00,982.375,7.693
2024/10/14 18:35:00,982.375,7.683
2024/10/14 18:40:00,982.600,7.670
2024/10/14 18:45:00,982.525,7.637
2024/10/14 18:50:00,982.650,7.647
2024/10/14 18:55:00,982.650,7.623
2024/10/14 19:00:00,982.725,7.623
2024/10/14 19:05:00,982.525,7.630
2024/10/14 19:10:00,982.375,7.613
2024/10/14 19:15:00,982.600,7.623
2024/10/14 19:20:00,982.375,7.613
2024/10/14 19:25:00,982.450,7.607
2024/10/14 19:30:00,982.525,7.607
2024/10/14 19:35:00,982.450,7.613
2024/10/14 19:40:00,982.450,7.613
2024/10/14 19:45:00,982.600,7.613
