Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 07/02/2025
TIME       : 20:41:08
FILENAME   : C:\Repos\mynydd_ddu_public_data\CSV\VEI_EW141_DYO_250207204107_EW141.CSV
CREATED BY : Diver-Office 12.0.3.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =BB00-EW141  219.
  Instrument number       =          UTC+1     
                          =0
  Location                =VEI_EW141_DYO
  Sample period           =M05
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =BB00-EW141  219.
  Instrument number       =          UTC+1     
  Location                =VEI_EW141_DYO
  Sample period           =00 00:05:00 0
  Sample method           =T   
  Start date / time       =00:00:15 14/10/24
  End date / time         =00:10:21 07/02/25
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cmH2O],Temperature[°C]
2024/10/14 15:00:00,1064.200,9.793
2024/10/14 15:05:00,1063.900,9.763
2024/10/14 15:10:00,1063.950,9.770
2024/10/14 15:15:00,1064.075,9.763
2024/10/14 15:20:00,1064.025,9.763
2024/10/14 15:25:00,1064.075,9.780
2024/10/14 15:30:00,1064.200,9.780
2024/10/14 15:35:00,1064.200,9.770
2024/10/14 15:40:00,1064.150,9.780
2024/10/14 15:45:00,1064.025,9.763
2024/10/14 15:50:00,1064.200,9.757
2024/10/14 15:55:00,1064.325,9.770
2024/10/14 16:00:00,1064.475,9.780
2024/10/14 16:05:00,1064.325,9.763
2024/10/14 16:10:00,1064.275,9.763
2024/10/14 16:15:00,1064.275,9.770
2024/10/14 16:20:00,1064.275,9.757
2024/10/14 16:25:00,1064.400,9.763
2024/10/14 16:30:00,1064.400,9.770
2024/10/14 16:35:00,1064.525,9.763
2024/10/14 16:40:00,1064.600,9.763
2024/10/14 16:45:00,1064.475,9.763
2024/10/14 16:50:00,1064.775,9.763
2024/10/14 16:55:00,1064.775,9.763
2024/10/14 17:00:00,1064.850,9.763
2024/10/14 17:05:00,1064.775,9.757
2024/10/14 17:10:00,1064.725,9.757
2024/10/14 17:15:00,1064.925,9.757
2024/10/14 17:20:00,1064.925,9.740
2024/10/14 17:25:00,1064.925,9.757
2024/10/14 17:30:00,1064.850,9.747
